,sector,state,district,sex,age,cwstype,wage,edu_cat,log_wage
30332,1,Maharashtra,9,female,42,casual labour,4550,below middle,8.422882512
135850,1,Assam,25,male,50,regular wage/salaried employees,35000,Graduate & above,10.46310334
86340,1,Maharashtra,13,male,26,casual labour,7583.333,Secondary & higher,8.933708092
39897,1,Uttar Pradesh,58,female,52,self employed,1,below middle,0
19979,2,Tamil Nadu,7,male,42,casual labour,7583.333,below middle,8.933708092
97581,2,Uttar Pradesh,9,male,20,regular wage/salaried employees,10000,Secondary & higher,9.210340372
116193,2,Madhya Pradesh,32,male,20,regular wage/salaried employees,5000,Secondary & higher,8.517193191
114011,1,West Bengal,13,male,28,self employed,1,Secondary & higher,0
67262,1,Mizoram,3,male,56,self employed,5000,below middle,8.517193191
36042,2,Mizoram,5,male,60,self employed,10000,below middle,9.210340372
11580,1,Chhattisgarh,21,male,30,self employed,7800,below middle,8.961879013
130629,1,Uttar Pradesh,58,male,65,self employed,14000,Graduate & above,9.546812609
80771,1,Rajasthan,28,male,65,self employed,8000,below middle,8.987196821
35282,2,Tamil Nadu,4,male,45,regular wage/salaried employees,9500,below middle,9.159047078
64744,1,Uttar Pradesh,26,male,23,regular wage/salaried employees,8000,below middle,8.987196821
17244,1,Odisha,23,female,35,self employed,1,below middle,0
14442,1,Punjab,16,male,23,regular wage/salaried employees,3000,below middle,8.006367568
64508,2,Gujarat,1,female,35,self employed,1,below middle,0
34556,1,J&K,2,male,45,self employed,15000,below middle,9.61580548
93445,2,Karnataka,1,male,49,regular wage/salaried employees,19000,Secondary & higher,9.852194258
123538,2,Punjab,6,male,21,regular wage/salaried employees,12000,Secondary & higher,9.392661929
127369,1,Uttar Pradesh,59,male,30,regular wage/salaried employees,8500,Graduate & above,9.047821442
41330,2,Odisha,14,male,19,casual labour,5200,below middle,8.556413905
99324,2,Andhra Pradesh,6,female,30,regular wage/salaried employees,8000,Secondary & higher,8.987196821
111738,2,Uttar Pradesh,66,female,35,regular wage/salaried employees,3500,Secondary & higher,8.160518247
65203,1,Kerala,9,male,48,self employed,7500,below middle,8.9226583
130567,2,Rajasthan,31,male,45,regular wage/salaried employees,15000,Graduate & above,9.61580548
112407,1,Madhya Pradesh,2,male,28,self employed,8000,Secondary & higher,8.987196821
86722,2,Chandigarh,1,male,19,regular wage/salaried employees,12000,Secondary & higher,9.392661929
6828,1,West Bengal,8,male,46,self employed,12500,below middle,9.433483923
142192,2,Mizoram,3,male,53,regular wage/salaried employees,40000,Graduate & above,10.59663473
116960,2,Gujarat,14,male,53,casual labour,6825,Secondary & higher,8.82834762
1173,1,Maharashtra,2,female,48,self employed,1,below middle,0
133259,2,Maharashtra,22,male,32,regular wage/salaried employees,30000,Graduate & above,10.30895266
99901,1,Manipur,4,male,39,self employed,15000,Secondary & higher,9.61580548
121193,2,Daman and Diu,2,male,39,regular wage/salaried employees,12000,Secondary & higher,9.392661929
120889,1,Andhra Pradesh,2,male,21,regular wage/salaried employees,8000,Secondary & higher,8.987196821
136199,2,Maharashtra,19,female,31,regular wage/salaried employees,22000,Graduate & above,9.998797732
56803,2,Andhra Pradesh,10,male,40,regular wage/salaried employees,22000,below middle,9.998797732
77442,2,Gujarat,14,male,27,regular wage/salaried employees,1,below middle,0
33537,2,West Bengal,9,male,45,self employed,10000,below middle,9.210340372
116608,2,Mizoram,3,male,38,self employed,35000,Secondary & higher,10.46310334
29601,1,Uttar Pradesh,51,male,55,self employed,7000,below middle,8.853665428
49054,1,Assam,13,female,21,regular wage/salaried employees,6000,below middle,8.699514748
72186,1,Jharkhand,9,male,62,self employed,5000,below middle,8.517193191
112825,2,Jharkhand,7,male,21,regular wage/salaried employees,12000,Secondary & higher,9.392661929
119479,1,Assam,26,male,45,casual labour,10616.67,Secondary & higher,9.270180686
84709,2,Karnataka,8,female,40,regular wage/salaried employees,1800,below middle,7.495541944
106503,1,Bihar,34,male,52,self employed,8000,Secondary & higher,8.987196821
63243,1,Manipur,6,male,70,self employed,15000,below middle,9.61580548
44418,1,Chhattisgarh,6,male,30,self employed,8000,below middle,8.987196821
23084,1,Chhattisgarh,20,male,22,self employed,4200,below middle,8.342839804
141281,2,Madhya Pradesh,27,male,36,regular wage/salaried employees,19000,Graduate & above,9.852194258
20357,2,Mizoram,3,female,29,self employed,1,below middle,0
120726,2,Chandigarh,1,male,56,regular wage/salaried employees,18000,Secondary & higher,9.798127037
142803,2,West Bengal,15,female,22,regular wage/salaried employees,6000,Graduate & above,8.699514748
37661,1,Madhya Pradesh,10,male,62,self employed,1,below middle,0
32395,1,Andhra Pradesh,1,male,54,self employed,16500,below middle,9.71111566
74717,1,Karnataka,12,female,40,casual labour,6066.667,below middle,8.710564639
136705,2,Odisha,16,male,42,self employed,20000,Graduate & above,9.903487553
22885,1,Odisha,28,male,88,self employed,5000,below middle,8.517193191
133240,2,Gujarat,1,male,45,self employed,12000,Graduate & above,9.392661929
112225,1,Arunachal Pradesh,12,male,26,self employed,13500,Secondary & higher,9.510444964
137871,2,West Bengal,16,male,33,self employed,6000,Graduate & above,8.699514748
72298,1,Uttar Pradesh,44,male,60,self employed,7000,below middle,8.853665428
95875,1,Rajasthan,14,male,35,self employed,10400,Secondary & higher,9.249561085
82914,1,Madhya Pradesh,17,male,22,casual labour,9100,below middle,9.116029693
29632,2,Uttar Pradesh,5,male,50,self employed,8000,below middle,8.987196821
38373,2,Telangana,15,male,45,casual labour,6066.667,below middle,8.710564639
48111,1,Madhya Pradesh,34,male,50,self employed,15000,below middle,9.61580548
85524,2,Kerala,7,male,72,self employed,15000,Secondary & higher,9.61580548
42455,1,Karnataka,10,female,55,casual labour,4333.333,below middle,8.374092271
137956,2,Jharkhand,19,male,49,regular wage/salaried employees,20000,Graduate & above,9.903487553
12940,1,Madhya Pradesh,25,female,60,self employed,1,below middle,0
48964,1,Manipur,2,female,39,self employed,7000,below middle,8.853665428
62593,1,Haryana,13,male,45,casual labour,12133.33,below middle,9.40371149
45750,2,Punjab,8,male,32,regular wage/salaried employees,4500,below middle,8.411832676
26799,1,West Bengal,1,female,37,casual labour,6500,below middle,8.779557456
95078,2,Karnataka,23,male,25,regular wage/salaried employees,30000,Secondary & higher,10.30895266
144883,1,Andhra Pradesh,10,male,27,regular wage/salaried employees,10500,Graduate & above,9.259130536
101530,1,Nagaland,6,female,33,self employed,1,Secondary & higher,0
30466,1,Telangana,24,female,40,casual labour,4333.333,below middle,8.374092271
104214,1,Andhra Pradesh,4,male,21,casual labour,3466.667,Secondary & higher,8.150948893
91717,2,Tamil Nadu,27,male,17,casual labour,10400,Secondary & higher,9.249561085
87416,1,Uttar Pradesh,1,male,35,self employed,5000,Secondary & higher,8.517193191
1122,1,Madhya Pradesh,25,female,52,self employed,1,below middle,0
12557,2,Manipur,7,female,55,self employed,2000,below middle,7.60090246
99249,2,Rajasthan,6,male,27,regular wage/salaried employees,8000,Secondary & higher,8.987196821
56820,1,Uttar Pradesh,18,male,36,self employed,3500,below middle,8.160518247
64779,1,Tamil Nadu,6,female,44,self employed,15000,below middle,9.61580548
100108,2,Haryana,7,male,22,self employed,15500,Secondary & higher,9.648595303
132107,2,Maharashtra,25,male,45,regular wage/salaried employees,30000,Graduate & above,10.30895266
9946,1,Jharkhand,19,male,42,self employed,5000,below middle,8.517193191
18017,1,Puducherry,2,male,60,regular wage/salaried employees,12000,below middle,9.392661929
8478,2,Haryana,6,male,29,self employed,8200,below middle,9.011889433
126503,1,Tripura,2,male,36,self employed,8000,Graduate & above,8.987196821
36728,1,Uttar Pradesh,23,male,46,self employed,6000,below middle,8.699514748
100468,1,Odisha,8,male,27,self employed,3000,Secondary & higher,8.006367568
119875,2,West Bengal,1,female,54,self employed,8000,Secondary & higher,8.987196821
116915,2,Gujarat,25,male,38,self employed,50000,Secondary & higher,10.81977828
23090,2,Madhya Pradesh,15,male,40,self employed,15000,below middle,9.61580548
33267,1,Mizoram,4,female,38,self employed,1,below middle,0
18557,1,Odisha,10,female,51,casual labour,7800,below middle,8.961879013
122052,1,Chhattisgarh,14,male,30,self employed,8920,Secondary & higher,9.096051226
18383,1,Odisha,27,male,45,self employed,5500,below middle,8.612503371
121779,1,Uttar Pradesh,11,male,35,self employed,1,Secondary & higher,0
6383,1,Uttar Pradesh,3,male,35,self employed,10000,below middle,9.210340372
110870,2,Rajasthan,29,male,35,regular wage/salaried employees,30000,Secondary & higher,10.30895266
61172,1,Bihar,7,male,43,self employed,8000,below middle,8.987196821
96704,1,Uttar Pradesh,22,male,19,self employed,1,Secondary & higher,0
23719,1,Uttar Pradesh,4,male,50,self employed,12000,below middle,9.392661929
55499,1,Uttar Pradesh,40,male,55,self employed,1,below middle,0
93889,1,Himachal Pradesh,4,female,35,self employed,1500,Secondary & higher,7.313220387
80887,1,Madhya Pradesh,20,female,55,self employed,1,below middle,0
131903,2,Delhi,1,male,28,regular wage/salaried employees,22000,Graduate & above,9.998797732
42419,1,Maharashtra,9,female,51,self employed,1,below middle,0
59141,1,Chhattisgarh,4,male,65,self employed,3000,below middle,8.006367568
35317,1,Tripura,2,male,65,self employed,8000,below middle,8.987196821
133829,2,Madhya Pradesh,22,male,31,regular wage/salaried employees,25000,Graduate & above,10.1266311
104119,1,Assam,6,male,30,regular wage/salaried employees,16000,Secondary & higher,9.680344001
65820,2,West Bengal,15,male,52,self employed,6000,below middle,8.699514748
105773,1,Telangana,24,male,32,self employed,12000,Secondary & higher,9.392661929
25627,2,Manipur,6,male,47,self employed,12000,below middle,9.392661929
29035,2,Tripura,2,male,58,casual labour,13650,below middle,9.521494801
82418,2,Maharashtra,25,male,41,self employed,1,below middle,0
26206,2,Tamil Nadu,7,male,82,self employed,3000,below middle,8.006367568
17798,1,Assam,1,male,46,regular wage/salaried employees,18000,below middle,9.798127037
76090,1,Uttar Pradesh,49,female,40,self employed,1,below middle,0
143000,1,Odisha,15,male,43,self employed,2500,Graduate & above,7.824046011
37354,2,Maharashtra,15,male,70,regular wage/salaried employees,6000,below middle,8.699514748
65553,1,Arunachal Pradesh,4,male,55,self employed,11000,below middle,9.305650552
125474,1,Tamil Nadu,32,male,36,regular wage/salaried employees,49524,Graduate & above,10.81021268
85481,2,Delhi,8,male,41,self employed,35000,Secondary & higher,10.46310334
24988,1,J&K,14,male,47,self employed,11000,below middle,9.305650552
62666,2,Manipur,5,male,28,self employed,10000,below middle,9.210340372
48115,1,Madhya Pradesh,25,female,14,casual labour,693.3333,below middle,6.541510836
69307,2,Andhra Pradesh,10,male,55,self employed,10000,below middle,9.210340372
144811,2,Tamil Nadu,22,male,39,self employed,43000,Graduate & above,10.66895539
123197,1,Tamil Nadu,24,male,49,regular wage/salaried employees,12000,Secondary & higher,9.392661929
89512,1,Andhra Pradesh,9,male,38,casual labour,8666.667,Secondary & higher,9.067239567
86115,1,Himachal Pradesh,2,male,30,casual labour,18200,Secondary & higher,9.809176873
22167,1,Assam,18,male,45,self employed,12000,below middle,9.392661929
129276,2,West Bengal,11,female,23,regular wage/salaried employees,35000,Graduate & above,10.46310334
29005,1,Tamil Nadu,7,male,30,regular wage/salaried employees,8000,below middle,8.987196821
122205,2,Jharkhand,19,female,31,regular wage/salaried employees,6000,Secondary & higher,8.699514748
136007,2,West Bengal,11,male,54,self employed,10000,Graduate & above,9.210340372
105707,2,Maharashtra,31,male,26,casual labour,8666.667,Secondary & higher,9.067239567
59649,2,West Bengal,16,female,32,regular wage/salaried employees,3000,below middle,8.006367568
28512,1,Madhya Pradesh,11,female,40,casual labour,4333.333,below middle,8.374092271
139268,2,Tamil Nadu,2,female,40,regular wage/salaried employees,25000,Graduate & above,10.1266311
112737,1,Uttar Pradesh,63,male,35,casual labour,10616.67,Secondary & higher,9.270180686
99019,2,Punjab,7,male,22,self employed,1,Secondary & higher,0
143197,2,West Bengal,11,female,36,regular wage/salaried employees,30000,Graduate & above,10.30895266
12205,1,Tripura,1,female,55,self employed,1,below middle,0
32746,2,Uttar Pradesh,15,male,28,regular wage/salaried employees,11500,below middle,9.350102314
49298,2,Chhattisgarh,13,male,40,regular wage/salaried employees,4000,below middle,8.29404964
5797,2,Maharashtra,9,male,60,regular wage/salaried employees,3000,below middle,8.006367568
85788,2,Assam,17,male,28,regular wage/salaried employees,2000,Secondary & higher,7.60090246
5888,1,Karnataka,25,male,50,regular wage/salaried employees,12000,below middle,9.392661929
140161,2,Punjab,12,male,40,regular wage/salaried employees,25000,Graduate & above,10.1266311
36686,2,Tripura,1,male,55,self employed,16000,below middle,9.680344001
12135,2,Maharashtra,7,male,40,self employed,7500,below middle,8.9226583
64755,1,Uttar Pradesh,2,male,43,casual labour,8450,below middle,9.04192172
114006,2,West Bengal,11,male,30,self employed,35000,Secondary & higher,10.46310334
90306,2,Tamil Nadu,27,male,33,self employed,12000,Secondary & higher,9.392661929
141666,2,Uttar Pradesh,45,male,48,self employed,8000,Graduate & above,8.987196821
48201,1,Uttar Pradesh,18,male,47,self employed,7000,below middle,8.853665428
115150,2,Punjab,7,male,32,regular wage/salaried employees,8000,Secondary & higher,8.987196821
62541,1,Madhya Pradesh,3,male,55,self employed,12000,below middle,9.392661929
68965,1,Punjab,22,male,65,self employed,20000,below middle,9.903487553
79844,1,Maharashtra,30,male,22,regular wage/salaried employees,10000,below middle,9.210340372
44809,1,Maharashtra,35,female,45,self employed,3000,below middle,8.006367568
44658,2,West Bengal,2,male,60,regular wage/salaried employees,5000,below middle,8.517193191
16146,1,Uttar Pradesh,23,male,28,casual labour,2946.667,below middle,7.98842998
118747,1,West Bengal,10,female,24,self employed,7500,Secondary & higher,8.9226583
140229,2,Goa,2,male,30,regular wage/salaried employees,42000,Graduate & above,10.6454249
10447,1,Assam,6,male,35,self employed,7500,below middle,8.9226583
17653,1,Odisha,23,female,26,casual labour,4550,below middle,8.422882512
109932,1,Himachal Pradesh,5,male,31,self employed,1,Secondary & higher,0
86898,1,West Bengal,18,male,49,self employed,10000,Secondary & higher,9.210340372
47458,1,Madhya Pradesh,35,male,66,self employed,16666,below middle,9.721125995
66019,1,Nagaland,10,female,49,self employed,1,below middle,0
503,2,Rajasthan,31,female,50,self employed,1800,below middle,7.495541944
139702,2,Haryana,20,male,36,self employed,25000,Graduate & above,10.1266311
3901,2,Tamil Nadu,3,male,50,regular wage/salaried employees,18000,below middle,9.798127037
116412,1,Uttrakhand,12,male,22,regular wage/salaried employees,8000,Secondary & higher,8.987196821
59569,1,Madhya Pradesh,37,male,62,self employed,3000,below middle,8.006367568
123047,1,Rajasthan,28,male,18,regular wage/salaried employees,8000,Secondary & higher,8.987196821
109563,2,Mizoram,8,female,47,self employed,10000,Secondary & higher,9.210340372
113891,1,Uttrakhand,2,male,54,self employed,5000,Secondary & higher,8.517193191
54952,2,West Bengal,17,male,60,regular wage/salaried employees,7000,below middle,8.853665428
3918,2,Maharashtra,22,male,40,regular wage/salaried employees,10000,below middle,9.210340372
27086,1,Tripura,4,male,48,casual labour,7800,below middle,8.961879013
13563,2,Assam,10,male,33,regular wage/salaried employees,7000,below middle,8.853665428
46904,2,West Bengal,7,female,45,self employed,1500,below middle,7.313220387
141335,2,Karnataka,11,male,28,regular wage/salaried employees,60000,Graduate & above,11.00209984
54249,1,Punjab,20,male,49,self employed,35000,below middle,10.46310334
39373,2,Manipur,5,female,50,self employed,10000,below middle,9.210340372
35926,2,Tripura,1,female,58,regular wage/salaried employees,20000,below middle,9.903487553
126834,1,Tripura,2,male,24,self employed,5500,Graduate & above,8.612503371
34421,2,Andhra Pradesh,4,male,23,self employed,12500,below middle,9.433483923
7394,2,Kerala,13,male,65,casual labour,3523,below middle,8.167068178
112494,1,Assam,18,male,29,self employed,4000,Secondary & higher,8.29404964
66571,1,Rajasthan,3,male,64,self employed,9000,below middle,9.104979856
81053,1,Jharkhand,13,female,45,self employed,1,below middle,0
102692,1,Tamil Nadu,8,male,22,regular wage/salaried employees,10000,Secondary & higher,9.210340372
57797,1,Rajasthan,29,female,58,casual labour,4550,below middle,8.422882512
49852,2,Uttar Pradesh,12,male,40,self employed,9000,below middle,9.104979856
51315,1,Kerala,13,male,57,regular wage/salaried employees,15000,below middle,9.61580548
125154,2,Delhi,1,male,48,regular wage/salaried employees,125000,Graduate & above,11.73606902
101911,1,Bihar,34,male,22,regular wage/salaried employees,8000,Secondary & higher,8.987196821
49122,2,Andhra Pradesh,13,male,38,casual labour,8450,below middle,9.04192172
114436,2,Haryana,7,male,20,regular wage/salaried employees,12000,Secondary & higher,9.392661929
27173,1,West Bengal,6,female,26,self employed,1500,below middle,7.313220387
96373,1,Uttar Pradesh,17,male,23,casual labour,9100,Secondary & higher,9.116029693
107548,2,Maharashtra,22,female,28,regular wage/salaried employees,6000,Secondary & higher,8.699514748
127286,1,Uttar Pradesh,58,male,28,self employed,1,Graduate & above,0
116241,1,J&K,7,male,43,regular wage/salaried employees,15000,Secondary & higher,9.61580548
15918,1,Odisha,30,female,42,self employed,1,below middle,0
96737,1,Uttar Pradesh,11,male,52,self employed,6000,Secondary & higher,8.699514748
63864,2,Karnataka,1,female,65,casual labour,2426.667,below middle,7.79427399
81639,1,Goa,2,female,46,self employed,1,below middle,0
144980,2,Uttar Pradesh,30,male,43,self employed,15000,Graduate & above,9.61580548
23465,2,Andhra Pradesh,3,female,40,self employed,5000,below middle,8.517193191
57866,2,Rajasthan,1,male,20,self employed,1,below middle,0
75453,1,Maharashtra,6,female,55,casual labour,2600,below middle,7.863266724
141095,2,Maharashtra,20,male,46,regular wage/salaried employees,77000,Graduate & above,11.2515607
38290,1,Punjab,5,male,41,casual labour,6066.667,below middle,8.710564639
103231,1,Rajasthan,6,male,52,regular wage/salaried employees,10000,Secondary & higher,9.210340372
85152,2,Karnataka,2,female,62,self employed,1650,Secondary & higher,7.408530567
115655,1,Bihar,29,male,49,self employed,12500,Secondary & higher,9.433483923
129282,2,Punjab,3,male,47,self employed,1,Graduate & above,0
48130,1,Arunachal Pradesh,9,female,60,self employed,4000,below middle,8.29404964
20984,2,Jharkhand,12,male,21,casual labour,7583.333,below middle,8.933708092
127034,2,Karnataka,11,male,28,regular wage/salaried employees,60000,Graduate & above,11.00209984
98735,2,Andhra Pradesh,6,male,38,regular wage/salaried employees,10000,Secondary & higher,9.210340372
49701,2,Chandigarh,1,male,35,regular wage/salaried employees,12000,below middle,9.392661929
37847,1,Madhya Pradesh,13,male,45,regular wage/salaried employees,1,below middle,0
18340,2,Tamil Nadu,26,male,56,self employed,25000,below middle,10.1266311
126839,1,J&K,6,male,29,regular wage/salaried employees,33000,Graduate & above,10.40426284
38526,1,Madhya Pradesh,43,male,25,casual labour,3120,below middle,8.045588281
82184,1,Gujarat,10,male,22,self employed,1,below middle,0
70088,1,Tamil Nadu,4,female,59,casual labour,2340,below middle,7.757906208
63238,1,West Bengal,8,female,34,self employed,3000,below middle,8.006367568
71937,2,Jharkhand,9,male,82,self employed,5200,below middle,8.556413905
